Category of Crops,Category of Operations,Operation / Task,Machinery Category,Attachment
Plantation & Perennial Crops,Crop Care Machinery,High-canopy/crown spraying,High-Pressure Lance,
Plantation & Perennial Crops,Crop Care Machinery,Pruning,Secateurs (Pruning Shears),
Plantation & Perennial Crops,Crop Care Machinery,Pruning,Pruning Saw,
Plantation & Perennial Crops,Crop Care Machinery,Pruning,Pole Saw,
Plantation & Perennial Crops,Crop Care Machinery,Pruning,Chainsaw,
Plantation & Perennial Crops,Crop Care Machinery,Shade-tree management,Chainsaw,
Plantation & Perennial Crops,Crop Care Machinery,Shade-tree management,Pole Saw,
Plantation & Perennial Crops,Crop Care Machinery,Coffee bush management,Pruning Tools,
Plantation & Perennial Crops,Crop Care Machinery,Coffee bush management,Powered Pruning Tools,
Plantation & Perennial Crops,Crop Care Machinery,Pest & disease management,Battery/Knapsack Sprayer,
Plantation & Perennial Crops,Crop Care Machinery,Pest & disease management,Mist Blower,
Plantation & Perennial Crops,Crop Care Machinery,Drone spraying and canopy management,Agricultural Drone,
Plantation & Perennial Crops,Crop Care Machinery,Drone spraying and canopy management,Crop Monitoring Camera/Sensor,
Plantation & Perennial Crops,Crop Care Machinery,Biomass/waste management,Shredder,
Plantation & Perennial Crops,Crop Care Machinery,Biomass/waste management,Wood Chipper,
Plantation & Perennial Crops,Harvest & Processing,Palm climbing,Arecanut/Coconut Climbing Machine,
Plantation & Perennial Crops,Harvest & Processing,On-farm produce transport,Farm Trolley/Trailer,
Plantation & Perennial Crops,Harvest & Processing,On-farm produce transport,Power Tiller,Trailer
Plantation & Perennial Crops,Harvest & Processing,Arecanut dehusking,Arecanut Dehusker,
Plantation & Perennial Crops,Harvest & Processing,Coconut dehusking,Coconut Dehusker,
Orchard & Vine Crops,"Land Preparation, Sowing & Cleaning",Land clearing & deweeding,Brush Cutter,
Orchard & Vine Crops,"Land Preparation, Sowing & Cleaning",Land clearing & deweeding,Power Weeder,
Orchard & Vine Crops,"Land Preparation, Sowing & Cleaning",Inter-row cultivation,Power Weeder,
Orchard & Vine Crops,"Land Preparation, Sowing & Cleaning",Inter-row cultivation,Power Tiller,
Orchard & Vine Crops,"Land Preparation, Sowing & Cleaning",Ridge / furrow formation,Power Tiller,Ridger
Orchard & Vine Crops,"Land Preparation, Sowing & Cleaning",Ridge / furrow formation,Power Tiller,Furrower
Orchard & Vine Crops,"Land Preparation, Sowing & Cleaning",Pit digging for planting,Earth/Post-Hole Auger,
Orchard & Vine Crops,"Land Preparation, Sowing & Cleaning",Planting-material transport,Farm Trolley/Trailer,
Orchard & Vine Crops,"Land Preparation, Sowing & Cleaning",Pruning,Brush Cutter,
Orchard & Vine Crops,"Land Preparation, Sowing & Cleaning",Pruning,Shredder,
Orchard & Vine Crops,Irrigation & Water,Water lifting / pumping,Centrifugal/Surface Water Pump,
Orchard & Vine Crops,Irrigation & Water,Water lifting / pumping,Submersible Pump,
Orchard & Vine Crops,Irrigation & Water,Surface irrigation,Pump,Pipeline
Orchard & Vine Crops,Irrigation & Water,Surface irrigation,Pump,Hose
Orchard & Vine Crops,Irrigation & Water,Drip irrigation,Drip Irrigation System,
Orchard & Vine Crops,Irrigation & Water,Micro-sprinkler irrigation,Micro-Sprinkler System,
Orchard & Vine Crops,Irrigation & Water,Fertigation,Fertigation Unit,
Orchard & Vine Crops,Irrigation & Water,Fertigation,Venturi Injector,
Orchard & Vine Crops,Irrigation & Water,Irrigation automation,Automated Irrigation Controller,
Orchard & Vine Crops,Crop Care Machinery,Weed management,Power Weeder,
Orchard & Vine Crops,Crop Care Machinery,Weed management,Brush Cutter,
Orchard & Vine Crops,Crop Care Machinery,Under-tree weed cutting,Brush Cutter,
Orchard & Vine Crops,Crop Care Machinery,Manure / compost transport,Farm Trolley/Trailer,
Orchard & Vine Crops,Crop Care Machinery,Fertilizer application,Fertilizer Applicator,
Orchard & Vine Crops,Crop Care Machinery,Foliar spraying,Battery/Knapsack Sprayer,
Orchard & Vine Crops,Crop Care Machinery,High-volume orchard spraying,HTP Sprayer,
Orchard & Vine Crops,Crop Care Machinery,High-volume orchard spraying,Power Sprayer,
Orchard & Vine Crops,Crop Care Machinery,Mist spraying,Mist Blower,
Orchard & Vine Crops,Crop Care Machinery,High-canopy spraying,HTP Sprayer,High-Pressure Lance
Orchard & Vine Crops,Crop Care Machinery,Pruning and canopy management,Secateurs (Pruning Shears),
Orchard & Vine Crops,Crop Care Machinery,Pruning and canopy management,Pruning Saw,
Orchard & Vine Crops,Crop Care Machinery,Pruning and canopy management,Pole Saw,
Orchard & Vine Crops,Crop Care Machinery,Pruning and canopy management,Chainsaw,
Orchard & Vine Crops,Crop Care Machinery,Pest & disease management,Battery/Knapsack Sprayer,
Orchard & Vine Crops,Crop Care Machinery,Pest & disease management,Power Sprayer,
Orchard & Vine Crops,Crop Care Machinery,Pest & disease management,Mist Blower,
Orchard & Vine Crops,Crop Care Machinery,Drone spraying and canopy management,Agricultural Drone,
Orchard & Vine Crops,Crop Care Machinery,Drone spraying and canopy management,Crop Monitoring Camera/Sensor,
Orchard & Vine Crops,Crop Care Machinery,Mulching and waste management,Shredder,
Orchard & Vine Crops,Crop Care Machinery,Mulching and waste management,Wood Chipper,
Orchard & Vine Crops,Harvest & Processing,Bunch / fruit harvesting,Harvesting Pole,
Orchard & Vine Crops,Harvest & Processing,Bunch / fruit harvesting,Sickle,
Orchard & Vine Crops,Harvest & Processing,Bunch / fruit harvesting,Secateurs (Pruning Shears),
Orchard & Vine Crops,Harvest & Processing,Bunch / fruit harvesting,Harvesting Scissors,
Orchard & Vine Crops,Harvest & Processing,High-canopy fruit harvesting,Telescopic Harvesting Pole,
Orchard & Vine Crops,Harvest & Processing,High-canopy fruit harvesting,Fruit Picker,
Orchard & Vine Crops,Harvest & Processing,On-farm produce transport,Farm Trolley/Trailer,
Orchard & Vine Crops,Harvest & Processing,On-farm produce transport,Power Tiller,Trailer
Orchard & Vine Crops,Harvest & Processing,Crop residue management,Shredder,
Orchard & Vine Crops,Harvest & Processing,Crop residue management,Wood Chipper,
Orchard & Vine Crops,Harvest & Processing,Crop residue management,Composting Unit,
Water intensive field crops,"Land Preparation, Sowing & Cleaning",Land clearing & deweeding,Brush Cutter,
Water intensive field crops,"Land Preparation, Sowing & Cleaning",Puddling Paddy,Power Tiller,Puddler
Water intensive field crops,"Land Preparation, Sowing & Cleaning",Sugarcane set planting,Sugarcane Planter,
Water intensive field crops,"Land Preparation, Sowing & Cleaning",Direct seeding  Paddy,Paddy Seed Drill / Drum Seeder,
Water intensive field crops,"Land Preparation, Sowing & Cleaning",Field / bund cleaning,Brush Cutter,
Water intensive field crops,"Land Preparation, Sowing & Cleaning",Field / bund cleaning,Power Weeder,
Water intensive field crops,Irrigation & Water,Water lifting / pumping,Centrifugal/Surface Water Pump,
Water intensive field crops,Irrigation & Water,Water lifting / pumping,Submersible Pump,
Water intensive field crops,Irrigation & Water,Field irrigation Paddy,Pump,Pipeline
Water intensive field crops,Irrigation & Water,Field irrigation  Paddy,Pump,Canal System
Water intensive field crops,Irrigation & Water,Furrow irrigation  Sugarcane,Pump,Pipeline
Water intensive field crops,Irrigation & Water,Drip irrigation  Sugarcane,Drip Irrigation System,
Water intensive field crops,Irrigation & Water,Fertigation Sugarcane,Fertigation Unit,
Water intensive field crops,Irrigation & Water,Fertigation Sugarcane,Venturi Injector,
Water intensive field crops,Crop Care Machinery,Inter-row weed management,Power Weeder,
Water intensive field crops,Crop Care Machinery,Fertilizer application,Fertilizer Broadcaster,
Water intensive field crops,Crop Care Machinery,Fertilizer application,Fertilizer Applicator,
Water intensive field crops,Crop Care Machinery,Foliar spraying,Battery/Knapsack Sprayer,
Water intensive field crops,Crop Care Machinery,Large-area spraying,Boom Sprayer (Tractor-Mounted),
Water intensive field crops,Crop Care Machinery,Pest & disease management,Power Sprayer,
Water intensive field crops,Crop Care Machinery,Pest & disease management,Boom Sprayer (Tractor-Mounted),
Water intensive field crops,Crop Care Machinery,Pest & disease management,Agricultural Drone,
Water intensive field crops,Crop Care Machinery,Sugarcane trash management,Shredder,
Water intensive field crops,Crop Care Machinery,Sugarcane trash management,Chopper (Straw/Trash),
Water intensive field crops,Crop Care Machinery,Paddy straw/residue management,Chopper (Straw/Trash),
Water intensive field crops,Crop Care Machinery,Paddy straw/residue management,Shredder,
Water intensive field crops,Crop Care Machinery,Paddy straw/residue management,Baler,
Water intensive field crops,Crop Care Machinery,Drone spraying,Agricultural Drone,
Water intensive field crops,Harvest & Processing,Paddy reaping,Reaper,
Water intensive field crops,Harvest & Processing,Paddy reaping,Reaper-Binder,
Water intensive field crops,Harvest & Processing,Sugarcane harvesting,Sugarcane Harvester,
Seasonal Horticultural Crops,"Land Preparation, Sowing & Cleaning",Land clearing & deweeding,Brush Cutter,
Seasonal Horticultural Crops,"Land Preparation, Sowing & Cleaning",Land clearing & deweeding,Shredder,
Seasonal Horticultural Crops,"Land Preparation, Sowing & Cleaning","Seed sowing  Carrot, Onion",Seed Drill,
Seasonal Horticultural Crops,"Land Preparation, Sowing & Cleaning","Seed sowing  Carrot, Onion",Precision Vegetable Seeder,
Seasonal Horticultural Crops,"Land Preparation, Sowing & Cleaning","Rhizome planting  Ginger, Turmeric",Rhizome/Vegetable Planter,
Seasonal Horticultural Crops,"Land Preparation, Sowing & Cleaning",Tuber planting  Potato,Potato Planter,
Seasonal Horticultural Crops,Irrigation & Water,Water lifting / pumping,Centrifugal/Surface Water Pump,
Seasonal Horticultural Crops,Irrigation & Water,Water lifting / pumping,Submersible Pump,
Seasonal Horticultural Crops,Irrigation & Water,Surface irrigation,Pump,Pipeline
Seasonal Horticultural Crops,Irrigation & Water,Surface irrigation,Pump,Hose
Seasonal Horticultural Crops,Irrigation & Water,Drip irrigation,Drip Irrigation System,
Seasonal Horticultural Crops,Irrigation & Water,Sprinkler irrigation,Sprinkler System,
Seasonal Horticultural Crops,Irrigation & Water,Micro-sprinkler irrigation,Micro-Sprinkler System,
Seasonal Horticultural Crops,Irrigation & Water,Fertigation,Fertigation Unit,
Seasonal Horticultural Crops,Irrigation & Water,Fertigation,Venturi Injector,
Seasonal Horticultural Crops,Irrigation & Water,Irrigation automation,Automated Irrigation Controller,
Seasonal Horticultural Crops,Crop Care Machinery,Inter-row weeding,Power Weeder,
Seasonal Horticultural Crops,Crop Care Machinery,Intra-row / between-plant weeding,Power Weeder,
Seasonal Horticultural Crops,Crop Care Machinery,Intra-row / between-plant weeding,Wheel Hoe,
Seasonal Horticultural Crops,Crop Care Machinery,Earthing-up Potato,Ridger / Earthing-Up Attachment,
Seasonal Horticultural Crops,Crop Care Machinery,Earthing-up  Chilli/Tomato,Ridger / Earthing-Up Attachment,
Seasonal Horticultural Crops,Crop Care Machinery,Earthing-up Chilli/Tomato,Power Weeder,
Seasonal Horticultural Crops,Crop Care Machinery,Earthing-up  Ginger/Turmeric,Power Weeder,Ridger
Seasonal Horticultural Crops,Crop Care Machinery,Earthing-up  Ginger/Turmeric,Power Weeder,Earthing-Up Attachment
Seasonal Horticultural Crops,Crop Care Machinery,Fertilizer application,Fertilizer Broadcaster,
Seasonal Horticultural Crops,Crop Care Machinery,Fertilizer application,Fertilizer Applicator,
Seasonal Horticultural Crops,Crop Care Machinery,Foliar spraying,Battery/Knapsack Sprayer,
Seasonal Horticultural Crops,Crop Care Machinery,Large-area spraying,Boom Sprayer (Tractor-Mounted),
Seasonal Horticultural Crops,Crop Care Machinery,Mist spraying,Mist Blower,
Seasonal Horticultural Crops,Crop Care Machinery,Pest & disease management,Power Sprayer,
Seasonal Horticultural Crops,Crop Care Machinery,Pest & disease management,Boom Sprayer (Tractor-Mounted),
Seasonal Horticultural Crops,Crop Care Machinery,Pest & disease management,Agricultural Drone,
Seasonal Horticultural Crops,Crop Care Machinery,"Staking / trellising Tomato, Chilli, Chrysanthemum",Earth/Post-Hole Auger,
Seasonal Horticultural Crops,Crop Care Machinery,Crop residue management,Shredder,
Seasonal Horticultural Crops,Crop Care Machinery,Crop residue management,Wood Chipper,
Seasonal Horticultural Crops,Harvest & Processing,Carrot harvesting,Carrot Harvester,
Seasonal Horticultural Crops,Harvest & Processing,Carrot harvesting,Root Crop Harvester,
Seasonal Horticultural Crops,Harvest & Processing,Harvesting,Harvesting Knife,
Seasonal Horticultural Crops,Harvest & Processing,Harvesting,Vegetable Harvesting Tools,
Seasonal Horticultural Crops,Harvest & Processing,Harvesting,Harvesting Scissors,
Seasonal Horticultural Crops,Harvest & Processing,Harvesting,Ginger/Rhizome Harvester,
Seasonal Horticultural Crops,Harvest & Processing,Harvesting,Digger,
Seasonal Horticultural Crops,Harvest & Processing,On-farm produce transport,Farm Trolley/Trailer,
Field Crops,"Land Preparation, Sowing & Cleaning",Land clearing & deweeding,Brush Cutter,
Field Crops,"Land Preparation, Sowing & Cleaning",Cotton sowing,Precision Cotton Planter,
Field Crops,"Land Preparation, Sowing & Cleaning",Cotton sowing,Seed Drill,
Field Crops,"Land Preparation, Sowing & Cleaning",Groundnut sowing,Groundnut Planter / Seed-cum-Fertilizer Drill,
Field Crops,"Land Preparation, Sowing & Cleaning",Maize sowing,Maize Planter,
Field Crops,"Land Preparation, Sowing & Cleaning",Maize sowing,Seed Drill,
Field Crops,"Land Preparation, Sowing & Cleaning",Tur sowing,Seed Drill,
Field Crops,"Land Preparation, Sowing & Cleaning",Tur sowing,Precision Planter,
Field Crops,"Land Preparation, Sowing & Cleaning",Seed treatment,Seed Treatment Machine,
Field Crops,"Land Preparation, Sowing & Cleaning",Seed treatment,Seed Treater,
Field Crops,"Land Preparation, Sowing & Cleaning",Inter-row field cleaning,Power Weeder,
Field Crops,Irrigation & Water,Water lifting / pumping,Centrifugal/Surface Water Pump,
Field Crops,Irrigation & Water,Water lifting / pumping,Submersible Pump,
Field Crops,Irrigation & Water,Surface irrigation,Pump,Pipeline
Field Crops,Irrigation & Water,Surface irrigation,Pump,Hose
Field Crops,Irrigation & Water,Furrow irrigation,Pump,Pipeline
Field Crops,Irrigation & Water,Drip irrigation,Drip Irrigation System,
Field Crops,Irrigation & Water,Sprinkler irrigation,Sprinkler System,
Field Crops,Irrigation & Water,Fertigation,Fertigation Unit,
Field Crops,Irrigation & Water,Fertigation,Venturi Injector,
Field Crops,Irrigation & Water,Irrigation automation,Automated Irrigation Controller,
Field Crops,Crop Care Machinery,Inter-row weeding,Power Weeder,
Field Crops,Crop Care Machinery,Inter-row weeding,Tractor-Mounted Cultivator,
Field Crops,Crop Care Machinery,Intra-row / between-plant weeding,Power Weeder,
Field Crops,Crop Care Machinery,Intra-row / between-plant weeding,Wheel Hoe,
Field Crops,Crop Care Machinery,Earthing-up / ridging,Power Tiller,Ridger
Field Crops,Crop Care Machinery,Intercultivation,Power Weeder,
Field Crops,Crop Care Machinery,Fertilizer application,Fertilizer Broadcaster,
Field Crops,Crop Care Machinery,Fertilizer application,Fertilizer Applicator,
Field Crops,Crop Care Machinery,Foliar spraying,Battery/Knapsack Sprayer,
Field Crops,Crop Care Machinery,Pest & disease management,Power Sprayer,
Field Crops,Crop Care Machinery,Pest & disease management,Boom Sprayer (Tractor-Mounted),
Field Crops,Crop Care Machinery,Pest & disease management,Agricultural Drone,
Field Crops,Crop Care Machinery,Cotton plant growth management,Boom Sprayer (Tractor-Mounted),
Field Crops,Crop Care Machinery,Cotton plant growth management,Power Sprayer,
Field Crops,Crop Care Machinery,Drone spraying,Agricultural Drone,
Field Crops,Harvest & Processing,Maize shelling,Maize Sheller,
Field Crops,Harvest & Processing,Reaping / cutting,Reaper,
Field Crops,Harvest & Processing,Reaping / cutting,Reaper-Binder,
Field Crops,Harvest & Processing,On-farm produce transport,Tractor,Trolley
Field Crops,Harvest & Processing,On-farm produce transport,Farm Trolley/Trailer,
Field Crops,Harvest & Processing,Crop residue management,Shredder,
Field Crops,Harvest & Processing,Crop residue management,Wood Chipper,
